,HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
165,91,Tunisia,0.383,,0.389,,..,,..,,0.419,,0.423,,0.429,,0.431,,0.442,
166,59,Turkey,0.454,,0.471,,0.476,,0.589,,0.604,,0.614,,0.609,,0.616,,0.594,
167,108,Turkmenistan,0.561,,..,,..,,..,,..,,..,,0.606,,0.606,,0.606,
168,159,Uganda,0.354,,0.330,,0.328,,0.337,,0.349,,0.354,,0.356,,0.365,,0.371,
169,88,Ukraine,0.766,,0.739,,0.743,,0.743,,0.766,,0.764,,0.768,,0.768,,0.768,
170,35,United Arab Emirates,..,,..,,..,,..,,..,,..,,..,,..,,0.608,
171,15,United Kingdom,0.877,,0.853,,0.844,,0.889,,0.894,,0.885,,0.835,,0.880,,0.890,
172,15,United States,0.864,,0.864,,0.851,,0.831,,0.844,,0.844,,0.849,,0.850,,0.849,
173,57,Uruguay,0.613,,0.627,,0.640,,0.651,,0.668,,0.660,,0.690,,0.690,,0.684,
174,108,Uzbekistan,0.665,,0.672,,0.682,,0.689,,0.692,,0.694,,0.698,,0.712,,0.713,
175,141,Vanuatu,..,,..,,..,,..,,0.436,,0.448,,0.445,,0.448,,..,
176,96,Venezuela (Bolivarian Republic of),0.559,,0.577,,0.580,,0.596,,0.597,,0.597,,0.617,,0.610,,0.638,
177,118,Viet Nam,0.483,,0.499,,0.504,,0.503,,0.503,,0.510,,0.512,,0.516,,0.516,
178,177,Yemen,0.163,,0.172,,0.168,,0.182,,0.178,,0.177,,0.184,,0.184,,0.187,
179,143,Zambia,0.399,,0.401,,0.403,,0.405,,0.415,,0.417,,0.432,,0.448,,0.448,
180,150,Zimbabwe,0.418,,0.420,,0.451,,0.452,,0.460,,0.465,,0.471,,0.473,,0.473,
181,74,Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,
182,43,Brunei Darussalam,..,,..,,..,,..,,..,,..,,..,,..,,..,
183,98,Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,
184,182,Eritrea,..,,..,,..,,..,,..,,..,,..,,..,,..,
185,78,Grenada,..,,..,,..,,..,,..,,..,,..,,..,,..,
186,73,Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,..,
187,110,Libya,..,,..,,..,,..,,..,,..,,..,,..,,..,
188,18,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,
189,62,Seychelles,..,,..,,..,,..,,..,,..,,..,,..,,..,
190,94,Saint Vincent and the Grenadines,..,,..,,..,,..,,..,,..,,..,,..,,..,
191,,Human Development,,,..,,..,,..,,..,,..,,..,,..,,..,
192,,Very high human development,0.755,,0.761,,0.764,,0.771,,0.781,,0.786,,0.782,,0.795,,0.795,
193,,High human development,0.478,,0.485,,0.492,,0.501,,0.512,,0.524,,0.536,,0.566,,0.563,
194,,Medium human development,0.286,,0.292,,0.295,,0.304,,0.313,,0.328,,0.336,,0.341,,0.431,
195,,Low human development,0.235,,0.239,,0.244,,0.248,,0.249,,0.255,,0.256,,0.260,,0.261,
196,,Developing Countries,0.375,,0.381,,0.384,,0.378,,0.385,,0.397,,0.404,,0.436,,0.469,
197,,Regions,,,..,,..,,..,,..,,..,,..,,..,,..,
198,,Arab States,0.309,,0.321,,0.331,,0.341,,0.338,,0.351,,0.379,,0.384,,0.386,
199,,East Asia and the Pacific,0.462,,0.470,,0.476,,0.496,,0.508,,0.514,,0.513,,0.551,,0.550,
200,,Europe and Central Asia,0.607,,0.614,,0.620,,0.663,,0.676,,0.680,,0.685,,0.689,,0.682,
201,,Latin America and the Caribbean,0.492,,0.496,,0.500,,0.518,,0.531,,0.544,,0.558,,0.560,,0.552,
202,,South Asia,0.276,,0.285,,0.288,,0.294,,0.302,,0.319,,0.326,,0.338,,0.444,
203,,Sub-Saharan Africa,0.277,,0.277,,0.282,,0.289,,0.293,,0.301,,0.303,,0.308,,0.308,
204,,Least Developed Countries,0.244,,0.251,,0.257,,0.263,,0.261,,0.271,,0.273,,0.274,,0.275,
205,,Small Island Developing States,0.440,,0.432,,0.422,,0.475,,0.485,,0.493,,0.500,,0.505,,0.503,
206,,Organization for Economic Co-operation and Development,0.749,,0.750,,0.749,,0.750,,0.761,,0.766,,0.766,,0.780,,0.782,
207,,World,0.437,,0.443,,0.443,,0.447,,0.453,,0.464,,0.469,,0.492,,0.523,
208,,,,,,,,,,,,,,,,,,,,
