,Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
206,Singapore,81.54146341,81.74390244,81.99512195,82.24634146,82.49512195,82.74390244,82.84634146,83.09512195,83.14634146
207,Solomon Islands,70.67399999999999,70.985,71.296,71.601,71.896,72.173,72.42399999999999,72.645,72.835
208,Sierra Leone,49.382,50.233999999999995,51.018,51.731,52.372,52.941,53.443999999999996,53.895,54.309
209,El Salvador,71.21,71.449,71.692,71.935,72.175,72.41199999999999,72.64399999999999,72.872,73.096
210,San Marino,,,85.41707317,,,,,,
211,Somalia,53.99,54.342,54.713,55.104,55.50899999999999,55.92,56.324,56.708999999999996,57.068000000000005
212,Serbia,74.33658537,74.53658537,74.83658537,75.18536585,75.33658537,75.28780488,75.68780488,75.53902439,75.8902439
213,Sub-Saharan Africa (excluding high income),56.70036012,57.43229897,58.12649017,58.77968518,59.38422168,59.93319295,60.42383847,60.86233564,61.25653313
214,South Sudan,54.8,55.325,55.791000000000004,56.2,56.552,56.855,57.12,57.365,57.604
215,Sub-Saharan Africa,56.72547004,57.45600255,58.14957954,58.80138989,59.40479994,59.95283055,60.44238734,60.88000237,61.27301465
216,Small states,66.20120247,66.74566783,67.28394944,67.76505808,68.2053778,68.61401082,68.96046273,69.27907473,69.54113266
217,Sao Tome and Principe,67.43,67.885,68.306,68.695,69.05199999999999,69.377,69.67,69.933,70.17
218,Suriname,70.465,70.676,70.851,71.002,71.133,71.249,71.358,71.46300000000001,71.57
219,Slovak Republic,75.11219512,75.95853659,76.1097561,76.41219512,76.81219512,76.56341463,77.16585366,77.16585366,77.26585366
220,Slovenia,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878,80.77560976,81.17560976,81.02926829,81.37804878
221,Sweden,81.45121951,81.80243902,81.70487805,81.95609756,82.25365854,82.20487805,82.30731707,82.4097561,82.55853659
222,Eswatini,46.601000000000006,48.141000000000005,49.861999999999995,51.699,53.568999999999996,55.358999999999995,56.961999999999996,58.318999999999996,59.401
223,Sint Maarten (Dutch part),,,73.05365854,,77.06829268,77.2195122,78.29268293,,
224,Seychelles,73.19756098,72.72439024,74.27560976,73.1195122,73.22926829,74.29512195,74.3097561,74.3,72.84146341
225,Syrian Arab Republic,72.108,71.27,70.55,70.04899999999999,69.821,69.908,70.315,70.967,71.779
226,Turks and Caicos Islands,,,,,,,,,
227,Chad,50.89,51.424,51.928000000000004,52.386,52.788999999999994,53.137,53.438,53.711999999999996,53.977
228,East Asia & Pacific (IDA & IBRD countries),73.11046440000001,73.39730747,73.685484,73.97309786,74.25837024,74.53395213,74.79361457,75.03335890000001,75.24922911
229,Europe & Central Asia (IDA & IBRD countries),71.31382423,71.88980316,72.21571764,72.62391044,72.88807996,73.14858138,73.50271794,73.89459647,74.03760290000001
230,Togo,57.468,58.092,58.661,59.16,59.58,59.927,60.22,60.489,60.76
231,Thailand,74.184,74.593,74.992,75.378,75.747,76.09100000000001,76.403,76.683,76.931
232,Tajikistan,68.736,69.055,69.34,69.609,69.874,70.137,70.39699999999999,70.64699999999999,70.87899999999999
233,Turkmenistan,66.657,66.928,67.167,67.375,67.55199999999999,67.704,67.835,67.956,68.07300000000001
234,Latin America & the Caribbean (IDA & IBRD countries),73.98334572,74.1729721,74.35526592,74.53024421,74.70017864,74.86655921,75.03057035,75.19431505,75.35738078
235,Timor-Leste,67.186,67.477,67.72,67.953,68.197,68.459,68.735,69.007,69.26
236,Middle East & North Africa (IDA & IBRD countries),72.00580146,72.20270536,72.3975981,72.59564383,72.79522708,72.99505261,73.19354707,73.39013107,73.58364281
237,Tonga,70.059,70.148,70.242,70.335,70.42699999999999,70.517,70.607,70.70100000000001,70.801
238,South Asia (IDA & IBRD),66.84876853,67.25831784,67.64633996,68.00771902,68.34020626,68.64190068,68.91615144,69.1713119,69.41224765
239,Sub-Saharan Africa (IDA & IBRD countries),56.72547004,57.45600255,58.14957954,58.80138989,59.40479994,59.95283055,60.44238734,60.88000237,61.27301465
240,Trinidad and Tobago,71.946,72.17,72.382,72.582,72.768,72.941,73.1,73.245,73.38
241,Tunisia,75.041,75.206,75.376,75.55199999999999,75.734,75.922,76.115,76.31,76.505
242,Turkey,74.507,74.944,75.373,75.78399999999999,76.172,76.532,76.86,77.161,77.437
243,Tuvalu,,,,,,,,,
244,Tanzania,58.583999999999996,59.525,60.47,61.398,62.288000000000004,63.111000000000004,63.843999999999994,64.479,65.015
245,Uganda,57.099,58.086999999999996,59.016999999999996,59.881,60.669,61.373000000000005,61.986000000000004,62.516000000000005,62.973
246,Ukraine,70.26536585,70.80926829,70.94414634,71.1595122,71.18658537,71.1895122,71.47634146,71.78097561,71.58268293
247,Upper middle income,73.09028907,73.42230592,73.73062547,74.03846884,74.31918783,74.59724393,74.85838353,75.11849548,75.32897721
248,Uruguay,76.75,76.882,77.00399999999999,77.124,77.244,77.369,77.498,77.632,77.77
249,United States,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.53902439
250,Uzbekistan,69.672,69.91,70.155,70.41,70.671,70.928,71.171,71.388,71.57300000000001
251,St. Vincent and the Grenadines,71.77600000000001,71.827,71.87899999999999,71.939,72.01,72.095,72.193,72.3,72.415
252,"Venezuela, RB",73.134,73.11,73.03699999999999,72.918,72.762,72.584,72.405,72.24600000000001,72.128
253,British Virgin Islands,,,,,,,,,
254,Virgin Islands (U.S.),77.96585366,78.41707317,78.66829268,78.86829268,78.96829268,79.16829268,79.26829268,79.4195122,79.56829268
255,Vietnam,74.837,74.904,74.958,75.006,75.056,75.11,75.172,75.241,75.317
